Question,Answer
who is paul avery to the zodiac killings?,"Paul Avery (April 2, 1934December 10, 2000) was an American police reporter, best known for his stories on the infamous serial killer known as the Zodiac , and later for his work on the Patricia Hearst kidnapping."
who is shem in the bible?,Shem was one of the sons of Noah in the Hebrew Bible as well as in Islamic literature.
who is the actor that plays harry potter?,"Daniel Radcliffe , who portrays Harry Potter , has been the icon of the film series since the release of the first film in 2001."
who is the author of tree grows in brooklyn?,A Tree Grows in Brooklyn is a 1943 novel written by Betty Smith.
who is the book the catcher in the rye by?,The Catcher in the Rye is a 1951 novel by J. D. Salinger.
who is the CEO OF FACEBOOK?,"As of April 2013, Zuckerberg is the chairman and chief executive of Facebook, Inc. and in 2013 his personal wealth was estimated to be US$13.3 billion."
who is the founder of twitter?,"Twitter was created in March 2006 by Jack Dorsey and by July, the social networking site was launched."
who is the group enigma?,"Enigma is an electronic musical project founded in Germany by Michael Cretu , David Fairstein and Frank Peterson in 1990."
who is the guy in the wheelchair who is smart?,"Professor Stephen Hawking , known for being a theoretical physicist , has appeared in many works of popular culture."
Who is the highest scoring NBA player?,"Wilt Chamberlain holds the all-time records for total points scored (4,029) and points per game (50.4) in a season; both records were achieved in the 1961–62 season."
Who is the husband of Betty Ford?,"Elizabeth Ann Bloomer Warren ""Betty"" Ford (April 8, 1918 – July 8, 2011), was First Lady of the United States from 1974 to 1977 during the presidency of her husband Gerald Ford."
who is the junior senator of nc?,"Janet Kay Ruthven Hagan (; born May 26, 1953) is the junior United States Senator from North Carolina , in office since January 2009."
who is the mayor of chicago 2011?,Rahm Emanuel won the race for mayor with more than 55% of the vote.
who is the writer of the beowulf poem?,Beowulf poem was composed by an anonymous Anglo-Saxon poet is dated between the 8th and the early 11th century.
who is victoria jackson from saturday night live?,"Victoria Jackson (born August 2, 1959) is an American comedian, actress, satirist, singer and internet blogger best known as a cast member of the NBC television sketch comedy series Saturday Night Live (SNL) from 1986 to 1992."
who kill franz ferdinand ww1?,"On 28 June 1914, Archduke Franz Ferdinand of Austria , heir presumptive to the Austro-Hungarian throne, and his wife, Sophie, Duchess of Hohenberg , were shot dead in Sarajevo , by Gavrilo Princip , one of a group of six Bosnian Serb assassins coordinated by Danilo Ilić."
who killed general warren in bunker hill?,"Rather than exercising his rank, Warren served in the battle as a private soldier, and was killed in combat when British troops stormed the redoubt atop Breed's Hill."
who killed julius caesar?,"But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of senators led by Marcus Junius Brutus."
who killed robert kennedy?,"Sirhan Sirhan , a 24-year-old Palestinian / Jordanian immigrant , was convicted of Kennedy's murder and is serving a life sentence for the crime."
who made facebook?,"Facebook was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes."
who made hubble telescope?,"The HST was built by the United States space agency NASA , with contributions from the European Space Agency , and is operated by the Space Telescope Science Institute."
who made the matrix?,"The Matrix is a 1999 American–Australian science fiction action film written and directed by The Wachowski Brothers and starring Keanu Reeves , Laurence Fishburne , Carrie-Anne Moss , Joe Pantoliano , and Hugo Weaving."
who made the original care bears?,The Care Bears are characters created by American Greetings in 1981 for use on greeting cards.
who make airbus?,"Airbus SAS is an aircraft manufacturing subsidiary of EADS , a European aerospace company."
who makes blackberry?,The BlackBerry is a line of wireless handheld devices and services designed and marketed by Research In Motion Limited (RIM) operating as BlackBerry.
Who Makes Nexen Tires?,"Nexen Tire is a tire manufacturer, headquartered in Yangsan , South Gyeongsang Province , and Seoul , both in South Korea."
who makes skittles?,"Skittles is a brand of fruit-flavoured sweets , currently produced and marketed by the Wm. Wrigley Jr. Company , a division of Mars, Inc."
who makes triumph motorcycles?,"Triumph Engineering Co Ltd, a defunct British motorcycle manufacturer."
Who Moved My Cheese Synopsis?,"Who Moved My Cheese describes change in one's work and life, and four typical reactions to said change by two mice and two ""littlepeople"", during their hunt for cheese."
who owned kansas before it became a state?,"Kansas is named after the Kansas River which flows through it, which in turn was named after the Kansa Native American tribe, which inhabited the area."
who owns exxon mobil?,"It is a direct descendant of John D. Rockefeller 's Standard Oil company, and was formed on November 30, 1999, by the merger of Exxon and Mobil."
who owns joe's crab shack?,Joe's Crab Shack is an American chain of beach-themed seafood casual dining restaurants owned by Ignite Restaurant Group.
who owns land rover?,"Land Rover is part of the Jaguar Land Rover group, a subsidiary of Tata Motors of India."
who owns popeyes chicken?,"Often referred to as Popeyes and sometimes as Popeyes Chicken & Biscuits or Popeyes Chicken & Seafood, It was acquired by Sandy Springs, Georgia -based AFC Enterprises , originally America's Favorite Chicken Company, in 1993."
who owns smirnoff?,Smirnoff is a brand of vodka owned and produced by the British company Diageo.
who owns youtube?,"In November 2006, YouTube, LLC was bought by Google for US$1.65 billion, and operates as a subsidiary of Google."
who passed no child left behind?,"President Bush signing the No Child Left Behind Act at Hamilton H.S. in Hamilton, Ohio."
who played batman in dark knight?,"Christian Bale reprises the lead role of Bruce Wayne/Batman, with a returning cast of Michael Caine as Alfred Pennyworth , Gary Oldman as James Gordon and Morgan Freeman as Lucius Fox."
who played dumbledore in harry potter?,Dumbledore is portrayed by Richard Harris in the film adaptions of Harry Potter and the Philosopher's Stone and Harry Potter and the Chamber of Secrets.
